conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Sam Bevin,,,,44,44,186,51,69,44,11,1,7,24,0,4,22,4,7,3,1,5,0,0,0,5,1,6,0,0.443,103,220,10,.700,.371,.554,23,60,17,0,0,3,1,2,0,100,.830,4,.750,41,1,6,4,1,0,1,0,0,0,43.1,13,9,6,29,10,0,1,1.87,167,180,0,2,1,2,3,0,0,9,.246,5,11,45,51,"22,61",0.36,22,61,"36,93",0.39,36,93,"24,55",0.44,24,55,"4,13",0.31,4,13,0,0,0,0,"38,73","15,20","55,107",159,0,0,0,4,0,0,0,13,41,0,48,50,1,0,0,0,0,0
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Nick Sampson,,,,44,44,171,52,55,18,6,0,0,25,0,7,15,8,6,2,4,3,0,0,0,4,0,4,0,0.422,61,210,8,.750,.322,.357,92,4,0,0,0,0,0,1,0,96,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,55,44,"15,46",0.33,15,46,"31,88",0.35,31,88,"16,51",0.31,16,51,"5,12",0.42,5,12,0,0,0,0,"19,38","11,18","61,104",208,0,0,0,0,0,0,0,19,28,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Josh Minnich,,,,45,45,177,45,64,49,10,0,4,25,1,9,17,4,0,1,1,1,0,0,0,6,1,7,0,0.462,86,213,1,.000,.362,.486,95,1,2,0,0,0,0,1,0,98,.980,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,44,49,"23,63",0.37,23,63,"45,116",0.39,45,116,"34,78",0.44,34,78,"6,11",0.55,6,11,0,0,0,0,"19,38","13,19","74,132",256,0,0,0,0,0,0,0,12,38,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Colin Marinpetro,,,,45,45,167,52,67,45,17,2,3,33,2,8,23,12,0,0,0,1,0,0,0,2,0,3,0,0.517,97,209,0,.000,.401,.581,359,12,4,0,0,0,0,32,0,375,.989,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,45,27,"21,62",0.34,21,62,"43,105",0.41,43,105,"25,68",0.37,25,68,"6,9",0.67,6,9,0,0,0,0,"19,31","12,16","80,123",110,0,0,0,0,0,0,0,20,35,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Dan Luko,,,,25,25,80,14,18,16,6,1,1,6,0,1,19,6,10,1,0,0,0,0,0,2,0,3,0,0.287,29,87,11,.909,.225,.363,27,0,0,0,0,0,0,0,0,27,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,16,23,"6,25",0.24,6,25,"13,52",0.25,13,52,"10,36",0.28,10,36,"2,5",0.40,2,5,0,0,0,0,"6,19","2,9","20,53",25,0,0,0,1,0,0,0,2,19,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Braeden Coyle,,,,24,8,35,7,7,6,0,0,0,7,0,1,7,3,1,2,0,0,0,0,0,2,0,2,0,0.349,7,43,3,.333,.200,.200,18,0,1,0,0,0,0,0,0,19,.947,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,16,5,"1,11",0.09,1,11,"3,21",0.14,3,21,"2,14",0.14,2,14,"0,4",0,0,4,0,0,0,0,"2,9","4,6","8,23",7,0,0,0,13,0,0,0,2,12,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Luke Vittone,,,,43,43,159,41,51,48,6,2,6,21,0,4,23,7,13,1,1,7,0,0,0,5,0,6,0,0.398,79,192,14,.929,.321,.497,93,131,6,0,0,0,0,29,0,230,.974,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,38,50,"11,42",0.26,11,42,"32,96",0.33,32,96,"21,59",0.36,21,59,"2,10",0.20,2,10,0,0,0,0,"15,36","19,31","62,116",234,0,0,0,0,0,0,0,11,31,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Raymond Stierer,,,,8,1,7,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.286,2,7,1,1.000,.286,.286,2,0,0,0,0,0,0,0,0,2,1.000,0,.000,3,1,0,0,0,1,0,0,0,0,2.1,0,0,1,1,1,0,0,0.00,9,11,0,1,0,0,0,0,0,1,.333,0,0,2,2,"0,4",0,0,4,"2,6",0.33,2,6,"1,2",0.50,1,2,"0,2",0,0,2,0,0,0,0,0,0,"2,6",0,0,0,0,0,0,0,0,0,4,0,3,2,0,"1,1","0,3","0,2",0,"0,1"
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Sam Meredith,,,,45,44,175,38,58,34,1,1,0,13,0,8,12,2,4,1,4,3,0,0,0,2,1,4,0,0.397,61,203,5,.800,.331,.349,62,136,6,0,0,0,0,25,0,204,.971,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,67,36,"19,55",0.35,19,55,"42,116",0.36,42,116,"29,72",0.40,29,72,"2,11",0.18,2,11,0,0,0,0,"14,33","16,21","82,136",234,0,0,0,0,0,0,0,26,48,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,baseball,Grove City,Shane Cato,,,,22,11,46,5,11,10,4,0,1,5,0,3,18,6,1,0,0,1,0,0,0,0,0,0,0,0.345,18,55,1,1.000,.239,.391,3,9,2,0,0,0,0,0,0,14,.857,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9,8,"8,12",0.67,8,12,"7,24",0.29,7,24,"4,13",0.31,4,13,"0,6",0,0,6,0,0,0,0,"2,12","3,5","16,31",110,0,0,0,29,0,0,0,2,4,0,,,,,,,,
